Location name,Amount spent (LBP)
Beirut Governorate,2417763
Beqaa Governorate,641791
Mount Lebanon Governorate,1232986
Nabatieh Governorate,326418
North Governorate,1114926
South Governorate,479702
Unknown,≤100
