Page ID,Page name,Disclaimer,Amount spent (VND),Number of ads in Library
107549978768704,Chiến thần Review,These ads ran without a disclaimer,832699,2
106541849055736,Đại Soái 3Q - Free Vip 9,These ads ran without a disclaimer,808908,3
109667435240948,,These ads ran without a disclaimer,596787,6
116526318036371,Khám sức khỏe & tầm soát ung thư - Bệnh viện đa khoa TTH Vinh,Bệnh viện đa khoa TTH Vinh,447531,10
105899765783316,Đơn nguyên Mắt - Bệnh viện đa khoa TTH Vinh,Bệnh viện đa khoa TTH Vinh,413776,13
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,385675,2
112611731763046,Bệnh Viện Đa Khoa TTH Vinh,Bệnh viện đa khoa TTH Vinh,322668,8
200480966638039,Supremacy 1914,These ads ran without a disclaimer,302641,2
109850575214128,Trang Sức Khỏe,These ads ran without a disclaimer,292420,12
280124715749325,Sự Thật Về Pháp Luân Công,Sự Thật Về Pháp Luân Công,250000,2
101914358044085,Tài Liệu Ôn Thi Viên Chức Giáo Dục,Tài Liệu Ôn Thi Viên Chức Giáo Dục,137414,6
111831663772285,BOMvn,BOMvn,96134,1
105578337737358,Lulu Occi,These ads ran without a disclaimer,88687,4
102790974633884,Quốc Bảo Đất nhà vườn Châu Đức,These ads ran without a disclaimer,86774,1
165600847322369,Tài Liệu Thi Viên Chức Giáo Dục Bình Định-Phú Yên,Tài Liệu Thi Viên Chức Giáo Dục Bình Định-Phú Yên,52561,1
118592938221174,ZTE Corporation,These ads ran without a disclaimer,34022,1
919479674872321,Báo Nghệ An,Báo Nghệ An,33051,1
106864984981716,Tài liệu ôn thi viên chức giáo viên TP. HCM,Tài liệu ôn thi viên chức giáo viên TP. HCM,26652,1
108715314693314,Tài Liệu Thi Viên Chức Giáo Dục TP.HCM - Bình Dương,Tài Liệu Thi Viên Chức Giáo Dục TP.HCM - Bình Dương,25897,1
469201610080869,Binance,These ads ran without a disclaimer,23791,1
654095561592004,VyVy,These ads ran without a disclaimer,21908,1
106233804094035,Điện lực Việt Nam,These ads ran without a disclaimer,18189,1
105845511087981,TRUYỀN HÌNH AN VIÊN,These ads ran without a disclaimer,5930,1
1339371959436992,哥倫布 Columbus,These ads ran without a disclaimer,2335,2
110900254400342,KR,These ads ran without a disclaimer,180,1
103018869332378,BantuPage,These ads ran without a disclaimer,≤100,1
111414593682088,CNPC Russian,These ads ran without a disclaimer,≤100,1
112220134851421,Under the Sisterhood,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,2
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,2
100399056233121,Maisa Paiva,These ads ran without a disclaimer,≤100,1
1542129772510765,Taiwan in Atlanta 駐亞特蘭大台北經濟文化辦事處,These ads ran without a disclaimer,≤100,1
198454000189884,REW.ca,These ads ran without a disclaimer,≤100,1
