Location name,Amount spent (HUF)
Baranya County,244092
Borsod-Abaúj-Zemplén County,330595
Budapest,1619990
Bács-Kiskun County,311322
Békés County,197901
Csongrád County,270044
Fejér County,268693
Győr-Moson-Sopron County,291801
Hajdú-Bihar County,286440
Heves County,176724
Jász-Nagykun-Szolnok County,206102
Komárom-Esztergom County,201907
Nógrád County,102920
Pest County,814155
Somogy County,164101
Szabolcs-Szatmár-Bereg County,271060
Tolna County,141621
Unknown,782
Vas County,171255
Veszprém County,196315
Zala County,166005
