Location name,Amount spent (AUD)
Australian Capital Territory,780
Jervis Bay Territory,≤100
New South Wales,16319
Northern Territory,253
Queensland,5555
South Australia,2193
Tasmania,1117
Unknown,≤100
Victoria,8264
Western Australia,2968
