Location name,Amount spent (JPY)
Aichi Prefecture,80603
Akita Prefecture,2187
Aomori Prefecture,1822
Chiba Prefecture,14615
Ehime Prefecture,2344
Fukui Prefecture,1791
Fukuoka Prefecture,44316
Fukushima Prefecture,2989
Gifu Prefecture,3604
Gunma Prefecture,3521
Hiroshima Prefecture,6192
Hokkaido,11234
Hyōgo Prefecture,14239
Ibaraki Prefecture,5672
Ishikawa Prefecture,2523
Iwate Prefecture,2240
Kagawa Prefecture,2209
Kagoshima Prefecture,2725
Kanagawa Prefecture,30365
Kumamoto Prefecture,3941
Kyoto Prefecture,8098
Kōchi Prefecture,1254
Mie Prefecture,3062
Miyagi Prefecture,9977
Miyazaki Prefecture,2297
Nagano Prefecture,4886
Nagasaki Prefecture,6116
Nara Prefecture,2788
Niigata Prefecture,3838
Okayama Prefecture,5388
Okinawa Prefecture,6449
Osaka Prefecture,23483
Saga Prefecture,3038
Saitama Prefecture,13365
Shiga Prefecture,3273
Shimane Prefecture,1916
Shizuoka Prefecture,7970
Tochigi Prefecture,3237
Tokushima Prefecture,1458
Tokyo,69222
Tottori Prefecture,990
Toyama Prefecture,1834
Unknown,≤100
Wakayama Prefecture,1720
Yamagata Prefecture,2159
Yamaguchi Prefecture,2602
Yamanashi Prefecture,1726
Ōita Prefecture,3187
