Location name,Amount spent (TRY)
Adana Province,10950
Adıyaman Province,1009
Afyonkarahisar Province,2264
Aksaray Province,10836
Amasya Province,1515
Ankara Province,42772
Antalya Province,10107
Ardahan Province,768
Artvin Province,1047
Aydın Province,10209
Ağrı Province,1336
Balıkesir Province,4982
Bartın Province,2242
Batman Province,1692
Bayburt Province,216
Bilecik Province,662
Bingöl Province,389
Bitlis Province,598
Bolu Province,1180
Burdur Province,942
Bursa Province,8617
Denizli Province,4658
Diyarbakır Province,3056
Düzce Province,1444
Edirne Province,616
Elazığ Province,1288
Erzincan Province,5006
Erzurum Province,2062
Eskişehir Province,6427
Gaziantep Province,8845
Giresun Province,8100
Gümüşhane Province,331
Hakkâri Province,284
Hatay Province,5152
Isparta Province,2260
Istanbul Province,109414
Iğdır Province,964
Kahramanmaraş Province,1893
Karabük Province,2941
Karaman Province,929
Kars Province,692
Kastamonu Province,3382
Kayseri Province,5421
Kilis Province,613
Kocaeli Province,6450
Konya Province,14147
Kütahya Province,1709
Kırklareli Province,1236
Kırıkkale Province,2428
Kırşehir Province,1424
Malatya Province,1540
Manisa Province,8284
Mardin Province,1595
Mersin Province,24097
Muğla Province,3650
Muş Province,371
Nevşehir Province,895
Niğde Province,1188
Ordu Province,6641
Osmaniye Province,2033
Rize Province,2414
Sakarya Province,2501
Samsun Province,8354
Siirt Province,535
Sinop Province,1233
Sivas Province,2047
Tekirdağ Province,2569
Tokat Province,3034
Trabzon Province,3396
Tunceli Province,140
Unknown,≤100
Uşak Province,3422
Van Province,1464
Yalova Province,643
Yozgat Province,1776
Zonguldak Province,6818
Çanakkale Province,4837
Çankırı Province,1719
Çorum Province,1545
İzmir Province,20654
Şanlıurfa Province,7476
Şırnak Province,836
