Location name,Amount spent (RON)
Alba County,459
Arad County,537
Argeș County,634
Bacău County,698
Bihor County,714
Bistrița-Năsăud County,372
Botoșani County,502
Brașov County,799
Brăila County,600
Bucharest,3583
Buzău County,499
Caraș-Severin County,305
Cluj County,1088
Constanța County,1002
Covasna County,273
Călărași County,329
Dolj County,1190
Dâmbovița County,484
Galați County,816
Giurgiu County,214
Gorj County,538
Harghita County,474
Hunedoara County,689
Ialomița County,216
Iași County,1225
Ilfov County,753
Maramureș County,630
Mehedinți County,326
Mureș County,777
Neamț County,709
Olt County,445
Prahova County,813
Satu Mare County,408
Sibiu County,571
Suceava County,775
Sălaj County,308
Teleorman County,283
Timiș County,1007
Tulcea County,219
Unknown,≤100
Vaslui County,476
Vrancea County,345
Vâlcea County,672
