Location name,Amount spent (UYU)
Artigas Department,156
Canelones Department,345
Cerro Largo Department,151
Colonia Department,208
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,189
Montevideo Department,3699
Paysandú Department,162
Rivera Department,954
Rocha Department,107
Río Negro Department,≤100
Salto Department,209
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,146
Treinta y Tres Department,≤100
Unknown,≤100
