Location name,Amount spent (JMD)
Clarendon Parish,109
Hanover Parish,≤100
Kingston Parish,≤100
Manchester Parish,134
Portland Parish,≤100
Saint Andrew Parish,811
Saint Ann Parish,134
Saint Catherine Parish,327
Saint Elizabeth Parish,≤100
Saint James Parish,134
Saint Mary Parish,≤100
Saint Thomas Parish,≤100
Trelawny Parish,≤100
Unknown,≤100
Westmoreland Parish,≤100
