Location name,Amount spent (COP)
Amazonas,3949
Antioquia,9573250
Arauca,67080
Atlantico,1647827
Bolivar,899783
Boyaca,1576463
Caldas,633404
Caqueta,197239
Casanare,361101
Cauca,363828
Cesar,384310
Choco,76511
Cordoba,545876
Cundinamarca,1550776
Distrito Especial,5924471
Guainia,10299
Guaviare,31371
Huila,1085348
La Guajira,96003
Magdalena,219793
Meta,637248
Narino,290206
Norte de Santander,838355
Putumayo,405675
Quindio,192079
Risaralda,1532606
San Andres y Providencia,164701
Santander,2471067
Sucre,389791
Tolima,594247
Unknown,1183
Valle del Cauca,5326068
Vaupes,961
Vichada,3427
