Location name,Amount spent (JPY)
Aichi Prefecture,34329
Akita Prefecture,3930
Aomori Prefecture,3445
Chiba Prefecture,33386
Ehime Prefecture,5045
Fukui Prefecture,3324
Fukuoka Prefecture,44518
Fukushima Prefecture,5558
Gifu Prefecture,12465
Gunma Prefecture,7085
Hiroshima Prefecture,13329
Hokkaido,24081
Hyōgo Prefecture,25606
Ibaraki Prefecture,10849
Ishikawa Prefecture,5793
Iwate Prefecture,3534
Kagawa Prefecture,5529
Kagoshima Prefecture,5242
Kanagawa Prefecture,63423
Kumamoto Prefecture,9757
Kyoto Prefecture,15999
Kōchi Prefecture,2141
Mie Prefecture,7094
Miyagi Prefecture,15351
Miyazaki Prefecture,4593
Nagano Prefecture,9987
Nagasaki Prefecture,7256
Nara Prefecture,6195
Niigata Prefecture,7818
Okayama Prefecture,15473
Okinawa Prefecture,9997
Osaka Prefecture,43480
Saga Prefecture,4826
Saitama Prefecture,39143
Shiga Prefecture,6433
Shimane Prefecture,4520
Shizuoka Prefecture,13889
Tochigi Prefecture,6423
Tokushima Prefecture,2935
Tokyo,117510
Tottori Prefecture,1747
Toyama Prefecture,3988
Unknown,≤100
Wakayama Prefecture,6058
Yamagata Prefecture,3352
Yamaguchi Prefecture,5013
Yamanashi Prefecture,3787
Ōita Prefecture,8502
