Location name,Amount spent (AUD)
Australian Capital Territory,585
Jervis Bay Territory,≤100
New South Wales,19485
Northern Territory,233
Queensland,6692
South Australia,2138
Tasmania,1222
Unknown,≤100
Victoria,10782
Western Australia,3480
