Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,143
Cerro Largo Department,≤100
Colonia Department,109
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,≤100
Montevideo Department,498
Paysandú Department,≤100
Rivera Department,464
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,101
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
