Location name,Amount spent (PLN)
Greater Poland Voivodeship,3963
Kuyavian-Pomeranian Voivodeship,1792
Lesser Poland Voivodeship,3040
Lower Silesian Voivodeship,2950
Lublin Voivodeship,1500
Lubusz Voivodeship,780
Masovian Voivodeship,6968
Opole Voivodeship,673
Podkarpackie Voivodeship,1340
Podlaskie Voivodeship,831
Pomeranian Voivodeship,2032
Silesian Voivodeship,3537
Unknown,≤100
Warmian-Masurian Voivodeship,1104
West Pomeranian Voivodeship,1652
Łódź Voivodeship,2116
Świętokrzyskie Voivodeship,907
