Location name,Amount spent (INR)
Andaman and Nicobar Islands,158
Andhra Pradesh,26620
Arunachal Pradesh,1052
Assam,15415
Bihar,35577
Chandigarh,2023
Chhattisgarh,68191
Dadra and Nagar Haveli,920
Delhi,46786
Goa,2919
Gujarat,53280
Haryana,36650
Himachal Pradesh,9805
Jammu and Kashmir,4800
Jharkhand,15093
Karnataka,48049
Kerala,9491
Lakshadweep,≤100
Madhya Pradesh,323298
Maharashtra,190060
Manipur,128
Meghalaya,775
Mizoram,2734
Nagaland,761
Odisha,13852
Puducherry,661
Punjab region,38436
Rajasthan,146635
Sikkim,1468
Tamil Nadu,32059
Telangana,58178
Tripura,1679
Unknown,4253
Uttar Pradesh,105045
Uttarakhand,18307
West Bengal,50837
