Location name,Amount spent (USD)
Azuay Province,1513
Bolívar Province,201
Carchi Province,153
Cañar Province,386
Chimborazo Province,583
Cotopaxi Province,487
El Oro Province,2088
Esmeraldas Province,735
Galápagos Province,≤100
Guayas Province,7026
Imbabura Province,879
Loja Province,786
Los Ríos Province,1574
Manabí Province,2908
Morona-Santiago Province,226
Napo Province,156
Orellana Province,254
Pastaza Province,232
Pichincha Province,4205
Santa Elena Province,637
Santo Domingo de los Tsáchilas Province,2100
Sucumbíos Province,272
Tungurahua Province,866
Unknown,≤100
Zamora-Chinchipe Province,146
