Location name,Amount spent (PYG)
Alto Paraguay Department,628
Alto Paraná Department,181717
Amambay Department,11293
Asunción,170335
Boquerón department,1858
Caaguazú Department,38054
Caazapá Department,3582
Canindeyú Department,13112
Central Department,708497
Concepción Department (Paraguay),14758
Cordillera Department,30444
Guairá Department,16865
Itapúa Department,33302
Misiones Department,75259
Paraguarí Department,12199
Presidente Hayes Department,10524
San Pedro Department,13491
Unknown,≤100
Ñeembucú Department,70028
