Location name,Amount spent (VEF)
Amazonas,342479
Anzoátegui,8708705
Apure,1872365
Aragua,10688679
Barinas,3500000
Bolívar (state),6515000
Capital District,23506463
Carabobo,14753565
Cojedes,1322406
Delta Amacuro,452467
Falcón,3922250
Guárico,3184789
Lara,10074717
Miranda (state),9000000
Monagas,3342298
Mérida,4449757
Nueva Esparta,3750000
Portuguesa,3659751
Sucre,2659808
Trujillo,2742324
Táchira,9250000
Vargas,3418855
Yaracuy,2837330
Zulia,24506463
