Page ID,Page name,Disclaimer,Amount spent (QAR),Number of ads in Library
200480966638039,Supremacy 1914,These ads ran without a disclaimer,116,2
831380550400647,Saba Homes,These ads ran without a disclaimer,≤100,1
111416286896380,Institute of National Remembrance,These ads ran without a disclaimer,≤100,1
101388746242539,الشيخ الدكتور محمد الصغير,These ads ran without a disclaimer,≤100,1
101822272617934,Network Booster,These ads ran without a disclaimer,≤100,1
115602001493333,Z-50-pro,These ads ran without a disclaimer,≤100,1
150793518281117,Covestro,These ads ran without a disclaimer,≤100,2
760185027711926,Scientific Feed,These ads ran without a disclaimer,≤100,1
101749628198714,Promova,These ads ran without a disclaimer,≤100,2
273089522819834,24Media,These ads ran without a disclaimer,≤100,1
107863022280731,Lin-bmd-06,These ads ran without a disclaimer,≤100,1
101787968733573,New to Money,These ads ran without a disclaimer,≤100,1
153371894688575,World Bank,These ads ran without a disclaimer,≤100,1
104121042603762,Sparkling Wenling,These ads ran without a disclaimer,≤100,1
59272578195,BusinessBecause,These ads ran without a disclaimer,≤100,1
100370796296403,مودة للحفاظ على الاسرة,These ads ran without a disclaimer,≤100,1
102470965836621,Sustainability MDPI,These ads ran without a disclaimer,≤100,2
111622410196045,State of Youth,These ads ran without a disclaimer,≤100,2
105508145022144,Geeky Base,These ads ran without a disclaimer,≤100,1
101545415784484,Simple Tribune,These ads ran without a disclaimer,≤100,1
