Location name,Amount spent (VEF)
Amazonas,250000
Anzoátegui,7439263
Apure,842977
Aragua,9473859
Barinas,7175948
Bolívar (state),8809748
Capital District,20254816
Carabobo,14144532
Cojedes,740401
Delta Amacuro,250000
Falcón,1881618
Guárico,1512909
Lara,8439188
Miranda (state),6275818
Monagas,1390803
Mérida,2367310
Nueva Esparta,1140393
Portuguesa,2021021
Sucre,1348783
Trujillo,1292895
Táchira,8728840
Unknown,≤100
Vargas,2262909
Yaracuy,2083205
Zulia,19615567
