Location name,Amount spent (EUR)
Alsace,528
Aquitaine,868
Auvergne,274
Basse-Normandie,353
Bourgogne,360
Bretagne,734
Centre,817
Champagne-Ardenne,282
Corse,≤100
Franche-Comté,221
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,797
Languedoc-Roussillon,809
Limousin,144
Lorraine,830
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,681
New Caledonia,≤100
Nord-Pas-de-Calais,916
Pays de la Loire,868
Picardie,394
Poitou-Charentes,443
Provence-Alpes-Côte d'Azur,1552
Reunion Island,≤100
Rhône-Alpes,1483
Saint-Martin,≤100
Unknown,≤100
Île-de-France,2670
