Location name,Amount spent (CLP)
Antofagasta Region,129242
Araucanía Region,128711
Arica y Parinacota Region,27870
Atacama Region,31235
Aysén Region,52633
Bío Bío Region,261538
Coquimbo Region,132155
Los Lagos Region,105504
Los Ríos Region,48115
Magallanes y la Antártica Chilena Region,19984
Maule Region,128309
O'Higgins Region,101011
Santiago Metropolitan Region,1398863
Tarapacá Region,52146
Unknown,441
Valparaíso Region,279000
