Location name,Amount spent (SEK)
Blekinge County,4426
Dalarna County,9202
Gotland County,1972
Gävleborg County,9347
Halland County,9175
Jämtland County,4504
Jönköping County,10658
Kalmar County,6678
Kronoberg County,5213
Norrbotten County,8489
Skåne County,44458
Stockholm County,86174
Södermanland County,9230
Unknown,≤100
Uppsala County,12793
Värmland County,8750
Västerbotten County,8937
Västernorrland County,7132
Västmanland County,8901
Västra Götaland County,64063
Örebro County,10166
Östergötland County,16366
