Location name,Amount spent (PLN)
Greater Poland Voivodeship,5950
Kuyavian-Pomeranian Voivodeship,3427
Lesser Poland Voivodeship,5701
Lower Silesian Voivodeship,5007
Lublin Voivodeship,2627
Lubusz Voivodeship,2187
Masovian Voivodeship,10160
Opole Voivodeship,1495
Podkarpackie Voivodeship,2717
Podlaskie Voivodeship,1448
Pomeranian Voivodeship,4066
Silesian Voivodeship,6718
Unknown,≤100
Warmian-Masurian Voivodeship,1861
West Pomeranian Voivodeship,4039
Łódź Voivodeship,5390
Świętokrzyskie Voivodeship,1613
