Location name,Amount spent (USD)
Adjumani District,≤100
Amuru District,≤100
Arua District,≤100
Busia District,≤100
Hoima District,≤100
Ibanda District,≤100
Iganga District,≤100
Jinja District,≤100
Kampala District,≤100
Kamuli District,≤100
Kayunga District,≤100
Maracha District,≤100
Masaka District,≤100
Mbale District,≤100
Mbarara District,≤100
Mityana District,≤100
Mpigi District,≤100
Mukono District,≤100
Nakaseke District,≤100
Rakai District,≤100
Soroti District,≤100
Tororo District,≤100
Wakiso District,≤100
