Location name,Amount spent (INR)
Andaman and Nicobar Islands,256
Andhra Pradesh,78865
Arunachal Pradesh,617
Assam,13827
Bihar,94867
Chandigarh,1492
Chhattisgarh,26791
Dadra and Nagar Haveli,774
Delhi,72911
Goa,1566
Gujarat,55548
Haryana,48543
Himachal Pradesh,12903
Jammu and Kashmir,8790
Jharkhand,14895
Karnataka,319130
Kerala,11833
Lakshadweep,≤100
Madhya Pradesh,78976
Maharashtra,214038
Manipur,1350
Meghalaya,4618
Mizoram,902
Nagaland,2473
Odisha,14180
Puducherry,1075
Punjab region,24053
Rajasthan,134513
Sikkim,598
Tamil Nadu,32776
Telangana,64714
Tripura,3197
Unknown,≤100
Uttar Pradesh,115138
Uttarakhand,11542
West Bengal,40462
