Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
1058116737612843,USR,Uniunea Salvați România,10946,12
990747367737692,Cătălin Drulă,Uniunea Salvați România,4055,5
178362315106,European Parliament,European Parliament,3505,7
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,1806,39
494469087244449,Eugen Tomac,Eugen Tomac,782,3
1559885467641191,Râul Alb,Râul Alb,644,13
108295090637741,ASAP România,Fundatia The Institute,462,3
147547541961576,Council of the European Union,Council of the European Union,460,4
180808795707557,Soldan George,Partidul Social Democrat,444,3
207741001672,Speranta pentru Romania,Speranta pentru Romania,373,5
364996840328403,Asociația Liga Albanezilor din România,ALAR,295,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,287,4
114319753592403,AFACERI.news,Horia-Marius Bogdan,277,6
163943696987223,Ziarul Puterea,Ziarul Puterea,258,6
689386518104305,Radu Mihaiu,Uniunea Salvați România - Sector 2,254,4
107898832590939,European Commission,European Commission,233,3
177992992396061,SenioriNET,SenioriNET,232,1
731035500293728,Siegfried Muresan,Siegfried Muresan,201,1
111105537419564,Oana Murariu,Oana Murariu,196,1
149371012371397,Newsweek Romania,Newsweek Romania,194,4
101643545586108,Alianța Pentru Patrie,Alianța Pentru Patrie,179,3
612912695435095,Factual,Factual,161,7
1449284915381234,Ionel Bogdan,PNL Maramureş,160,2
103699915626820,NyárON Szereda,NyárON Szereda,140,5
114872183242531,Alexandru Dimitriu,Alexandru Paul Dimitriu,140,2
104903512152451,Ionel Sandu - Pagina Oficiala,Ionel Sandu,139,2
183473261723511,Ziar Piatra Neamt,Ziar Piatra Neamt,136,4
285094182016333,Marius Pavel,Marius Pavel,131,1
360828814115641,Asociatia Slujire Crestina,Asociatia Slujire Crestina,130,2
102718835134723,Dumitru Rujan,Petru-Florin Topliceanu,119,1
186612088034700,Facias - Fundatia pentru Apararea Cetatenilor Impotriva Abuzurilor Statului,FACIAS,119,3
289324877762564,Expert Forum (EFOR),Expert Forum (EFOR),115,3
100211372942318,România=GEȚIA,Mărgărit-Daniel Buzoi,115,1
102626229459814,Spunem NU pasajului subteran,Partidul Câmpina Curată,113,5
341037705981172,Humanitas,Humanitas,108,3
872508899534866,Gelu Panfil,Gelu Panfil,104,1
114485501263050,George Lazăr,PNL Neamț,101,1
148960861863819,Mircia Gutău,Mircia Gutău,≤100,2
106520174672768,Cosmin Tabără,Cosmin Tabără,≤100,1
109097618335138,Eduard Mititelu,Eduard Mititelu,≤100,2
697451833786949,Mihai Polițeanu,POLITEANU MIHAI-LAURENTIU,≤100,2
200813406761691,Corina Cretu,Marina Alin-Constantin,≤100,1
139292873479110,Florin Oancea,Florin Oancea,≤100,3
225783874101141,Institutul pentru Politici Sociale,Institutul pentru Politici Sociale,≤100,10
509548582409324,Ghidul Primãriilor,Millenium Management Sistem SRL,≤100,13
150909498384134,Varga Glad,Glad Varga,≤100,1
113873916863079,Mathias Corvinus Collegium - Erdély,Mathias Corvinus Collegium Egyesület,≤100,6
101340741758468,Radu Pescar,Pescar Radu Mircea,≤100,3
166649027305554,USR Sighetu Marmației,USR Maramureș,≤100,1
508572592666785,Alin Drăgulin,Alin-Bogdan Drăgulin,≤100,2
108567267960950,Gabriel Lupulescu,Gabriel Lupulescu,≤100,1
181221645364365,Carmen Avram,Carmen Avram,≤100,2
1653726584879481,Mihai Fifor,Fifor Mihai,≤100,2
