Location name,Amount spent (ISK)
Capital Region,38915
Eastern Region,1616
Northeastern Region,3784
Northwestern Region,749
Southern Peninsula,3175
Southern Region,13552
Unknown,≤100
Western Region,814
Westfjords,777
