Location name,Amount spent (EUR)
Alsace,676
Aquitaine,1444
Auvergne,422
Basse-Normandie,457
Bourgogne,567
Bretagne,1102
Centre,805
Champagne-Ardenne,407
Corse,138
Franche-Comté,341
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,610
Languedoc-Roussillon,1199
Limousin,223
Lorraine,724
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1057
New Caledonia,≤100
Nord-Pas-de-Calais,1308
Pays de la Loire,1422
Picardie,567
Poitou-Charentes,604
Provence-Alpes-Côte d'Azur,2197
Reunion Island,≤100
Rhône-Alpes,2258
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4285
