Location name,Amount spent (USD)
Alabama,10409
Alaska,2479
American Samoa,≤100
Arizona,28641
Arkansas,6863
California,101720
Colorado,19603
Connecticut,9524
Delaware,4098
Florida,63656
Georgia,25955
Guam,≤100
Hawaii,3093
Idaho,5301
Illinois,43192
Indiana,13970
Iowa,8642
Kansas,6365
Kentucky,14556
Louisiana,15885
Maine,5333
Maryland,38932
Massachusetts,17158
Michigan,27448
Minnesota,32693
Mississippi,7596
Missouri,15484
Montana,4457
Nebraska,4553
Nevada,13028
New Hampshire,8258
New Jersey,30781
New Mexico,5220
New York,58463
North Carolina,30329
North Dakota,1318
Northern Mariana Islands,≤100
Ohio,31539
Oklahoma,12334
Oregon,16679
Pennsylvania,81540
Puerto Rico,≤100
Rhode Island,2208
South Carolina,14135
South Dakota,1712
Tennessee,19992
Texas,115986
Unknown,6165
Utah,7882
Vermont,2142
Virgin Islands (U.S.),≤100
Virginia,31835
Washington,25340
"Washington, District of Columbia",13208
West Virginia,6622
Wisconsin,19260
Wyoming,2630
