Page ID,Page name,Disclaimer,Amount spent (JPY),Number of ads in Library
1904070096535109,スマート選挙,株式会社センキョ,67150,27
108136530968730,おねがい社長！,These ads ran without a disclaimer,54135,7
475681929154100,国連UNHCR協会,国連UNHCR協会,38575,23
684161888345926,西日本新聞me,西日本新聞me,36275,31
107450084058211,EXPO Topics,These ads ran without a disclaimer,18274,4
239558679475625,株式会社トマス技術研究所,Kenji Fukutomi,12357,12
208661552479830,日本財団,Shigeru Fujita,9953,9
579187028792625,社長と会社の手元現金を増やす仕組みづくりの専門家,社長と会社の手元現金を増やす仕組みづくりの専門家,9811,1
168191243202719,ドットジェイピー,NPO法人ドットジェイピー,9243,3
486499008189961,Inspire（インスパイア）：地方創生イノベータープラットフォーム,一般社団法人INSPIRE,7753,2
382249355166494,講談社BOOK倶楽部,株式会社講談社,5016,1
102468941548369,宮城県民共済,宮城県民共済,4846,4
1615481598672156,Blueair Japan Official,These ads ran without a disclaimer,3797,1
101949462903342,Lakubi premium,These ads ran without a disclaimer,3519,2
105938118792904,参政党鹿児島支部,Koji Yoshida,3008,1
104533215755145,ZOE_Japan,ZOE Japan,2353,4
195088317190451,グリーンピース・ジャパン,一般社団法人グリーンピース・ジャパン,2176,6
115864264779759,ヒーローズコンバット II,These ads ran without a disclaimer,2085,1
435250336532462,財界さっぽろ,Daisuke Shimizu,2009,1
236792844915124,Symview-シムビュー,These ads ran without a disclaimer,1978,1
113329574588243,kuremonogatari2,kuremonogatari2,1779,1
111759777259677,ローカル・マニフェスト推進連盟,健輔 山内,1201,1
1677419399148240,たはら亮 後援会（朝霞市）,Ryo  Tahara,615,1
115247946520017,電波オークションを実現する会,Mitsumasa Kato,612,2
100199881840737,Minghui Japan（ミンフイ　ジャパン）ー明慧日本,明慧日本,504,1
1583940145177329,青森県政を考える会,竹浪 純,450,1
1579870735639750,N-pit仙台　エイチアイファクトリー,Hiroshi Ooyama,440,1
289931618238873,法輪功は素晴らしいですが、なぜ迫害されたのか,Luu Nga,400,2
103387525208688,دكتور رضا محروس أخصائي النساء والتوليد والحقن المجهري وجراحة المناظير,These ads ran without a disclaimer,318,4
336099996470940,Language Exchange Osaka　ランゲージエクスチェンジ大阪,These ads ran without a disclaimer,298,1
102361202140398,Housii,These ads ran without a disclaimer,253,1
1607696895913679,日経プラス９サタデー　ニュースの疑問,Takamasa Kikawa,242,1
1672330153015605,透明アクリル業者票,アドアチーブ株式会社,194,1
243143172757375,情報ドットコム（K.Oshima）,大島 和彦,191,1
256504371891671,the-issues.jp,株式会社issues,105,1
100451933698060,AdVenture Communist,These ads ran without a disclaimer,≤100,2
536262416434799,NewsPicks（ニューズピックス）,These ads ran without a disclaimer,≤100,1
106604448597548,メチャカリ,These ads ran without a disclaimer,≤100,1
761528047280425,Medvoice.,These ads ran without a disclaimer,≤100,1
107706102295108,Wire Tool,These ads ran without a disclaimer,≤100,1
100461996374188,top_prioritees,These ads ran without a disclaimer,≤100,1
107990898754094,Moomoo Japan,These ads ran without a disclaimer,≤100,1
101849728551147,Fun Break Central,These ads ran without a disclaimer,≤100,6
105358418121058,マンガがうがう,These ads ran without a disclaimer,≤100,1
115575820139019,Af Fhyf,These ads ran without a disclaimer,≤100,1
378273073021139,Paxsies Underwear,These ads ran without a disclaimer,≤100,1
106308164844758,Countless Stories,These ads ran without a disclaimer,≤100,1
1397405843841104,Ines de la Fressange Paris,These ads ran without a disclaimer,≤100,1
208371683037269,NBCU Catalyst,These ads ran without a disclaimer,≤100,2
