Location name,Amount spent (VND)
An Giang Province,17512
Bà Rịa–Vũng Tàu Province,12469
Bình Dương Province,30290
Bình Phước Province,14446
Bình Thuận Province,15061
Bình Định Province,65871
Bạc Liêu Province,8653
Bắc Giang Province,32666
Bắc Kạn Province,5606
Bắc Ninh Province,20258
Bến Tre Province,10954
Cao Bằng Province,124609
Cà Mau Province,8697
Cần Thơ,9833
Da Nang,33426
Gia Lai Province,12904
Haiphong,6642
Ho Chi Minh City,142217
Hà Giang Province,6018
Hà Nam Province,7095
Hà Tĩnh Province,300650
Hòa Bình Province,10893
Hưng Yên Province,17493
Hải Dương Province,27472
Hậu Giang Province,3333
Khánh Hòa Province,12171
Kiên Giang Province,15394
Kon Tum Province,4929
Lai Châu Province,1898
Long An Province,10165
Lào Cai Province,5918
Lâm Đồng Province,17116
Lạng Sơn Province,14674
Nam Định Province,9458
Nghệ An Province,821837
Ninh Bình Province,5847
Ninh Thuận Province,7111
Phú Thọ Province,12272
Phú Yên Province,13494
Quảng Bình Province,8673
Quảng Nam Province,41436
Quảng Ngãi Province,11788
Quảng Ninh Province,9300
Quảng Trị Province,7734
Sóc Trăng Province,13382
Sơn La Province,15110
Thanh Hóa Province,22276
Thái Bình Province,9052
Thái Nguyên Province,12470
Thừa Thiên–Huế Province,11759
Tiền Giang Province,17441
Trà Vinh Province,10760
Tuyên Quang Province,11449
Tây Ninh Province,12246
Unknown,≤100
Vĩnh Long Province,7660
Vĩnh Phúc Province,13322
Yên Bái Province,63103
Điện Biên Province,6037
Đắk Lắk Province,26678
Đắk Nông Province,7303
Đồng Nai Province,37964
Đồng Tháp Province,12112
