Location name,Amount spent (EUR)
Alsace,1152
Aquitaine,2029
Auvergne,675
Basse-Normandie,715
Bourgogne,829
Bretagne,1645
Centre,1378
Champagne-Ardenne,669
Corse,259
Franche-Comté,585
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,915
Languedoc-Roussillon,1997
Limousin,372
Lorraine,1282
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1712
New Caledonia,≤100
Nord-Pas-de-Calais,2156
Pays de la Loire,1780
Picardie,964
Poitou-Charentes,939
Provence-Alpes-Côte d'Azur,3804
Reunion Island,321
Rhône-Alpes,4009
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,8247
