Location name,Amount spent (HUF)
Baranya County,198988
Borsod-Abaúj-Zemplén County,252103
Budapest,1082968
Bács-Kiskun County,258529
Békés County,153472
Csongrád County,186714
Fejér County,231893
Győr-Moson-Sopron County,228533
Hajdú-Bihar County,216540
Heves County,149326
Jász-Nagykun-Szolnok County,154359
Komárom-Esztergom County,178450
Nógrád County,76918
Pest County,566132
Somogy County,136641
Szabolcs-Szatmár-Bereg County,223970
Tolna County,110122
Unknown,119
Vas County,121023
Veszprém County,156708
Zala County,134688
