Location name,Amount spent (SEK)
Blekinge County,3338
Dalarna County,6884
Gotland County,1653
Gävleborg County,6966
Halland County,6800
Jämtland County,3514
Jönköping County,7605
Kalmar County,5145
Kronoberg County,3758
Norrbotten County,5682
Skåne County,28881
Stockholm County,58928
Södermanland County,6808
Unknown,≤100
Uppsala County,9218
Värmland County,6065
Västerbotten County,6714
Västernorrland County,5345
Västmanland County,5833
Västra Götaland County,38987
Örebro County,6706
Östergötland County,9744
