Location name,Amount spent (VND)
An Giang Province,3010
Bà Rịa–Vũng Tàu Province,43484
Bình Dương Province,89433
Bình Phước Province,5614
Bình Thuận Province,7056
Bình Định Province,10627
Bạc Liêu Province,4593
Bắc Giang Province,12264
Bắc Kạn Province,1060
Bắc Ninh Province,7780
Bến Tre Province,6241
Cao Bằng Province,2740
Cà Mau Province,2207
Cần Thơ,29886
Da Nang,123112
Gia Lai Province,3686
Haiphong,38835
Ho Chi Minh City,1644605
Hà Giang Province,3928
Hà Nam Province,10582
Hà Tĩnh Province,84023
Hòa Bình Province,5507
Hưng Yên Province,8224
Hải Dương Province,13199
Hậu Giang Province,764
Khánh Hòa Province,26205
Kiên Giang Province,13304
Kon Tum Province,2829
Lai Châu Province,832
Long An Province,6668
Lào Cai Province,2727
Lâm Đồng Province,28794
Lạng Sơn Province,3970
Nam Định Province,8695
Nghệ An Province,63060
Ninh Bình Province,3485
Ninh Thuận Province,1175
Phú Thọ Province,9930
Phú Yên Province,2586
Quảng Bình Province,57076
Quảng Nam Province,3689
Quảng Ngãi Province,75169
Quảng Ninh Province,13691
Quảng Trị Province,36052
Sóc Trăng Province,1828
Sơn La Province,4808
Thanh Hóa Province,13770
Thái Bình Province,11747
Thái Nguyên Province,15822
Thừa Thiên–Huế Province,103029
Tiền Giang Province,5113
Trà Vinh Province,5375
Tuyên Quang Province,105590
Tây Ninh Province,5920
Vĩnh Long Province,4206
Vĩnh Phúc Province,7578
Yên Bái Province,5553
Điện Biên Province,1274
Đắk Lắk Province,8127
Đắk Nông Province,2660
Đồng Nai Province,113248
Đồng Tháp Province,3162
