Location name,Amount spent (NOK)
Akershus,8860
Aust-Agder,1782
Buskerud,4208
Finnmark,947
Hedmark,2515
Hordaland,9574
Møre og Romsdal,3679
Nord-Trøndelag,1584
Nordland,3020
Oppland,2319
Oslo,9837
Rogaland,5431
Sogn og Fjordane,1168
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,5515
Telemark,2584
Troms,2571
Unknown,≤100
Vest-Agder,2684
Vestfold,3114
Østfold,3954
