Location name,Amount spent (INR)
Andaman and Nicobar Islands,245
Andhra Pradesh,86009
Arunachal Pradesh,1713
Assam,24897
Bihar,56479
Chandigarh,1965
Chhattisgarh,20604
Dadra and Nagar Haveli,1118
Delhi,52272
Goa,2073
Gujarat,41045
Haryana,42928
Himachal Pradesh,13767
Jammu and Kashmir,15564
Jharkhand,14928
Karnataka,162294
Kerala,12689
Lakshadweep,≤100
Madhya Pradesh,62653
Maharashtra,160354
Manipur,2080
Meghalaya,159660
Mizoram,747
Nagaland,46216
Odisha,13086
Puducherry,1945
Punjab region,31529
Rajasthan,93816
Sikkim,731
Tamil Nadu,45195
Telangana,62064
Tripura,614370
Unknown,≤100
Uttar Pradesh,103799
Uttarakhand,13761
West Bengal,78746
