Location name,Amount spent (SEK)
Blekinge County,3343
Dalarna County,7163
Gotland County,1635
Gävleborg County,7410
Halland County,6928
Jämtland County,3597
Jönköping County,8619
Kalmar County,5074
Kronoberg County,4346
Norrbotten County,6195
Skåne County,32156
Stockholm County,61031
Södermanland County,7170
Unknown,≤100
Uppsala County,9706
Värmland County,6500
Västerbotten County,7092
Västernorrland County,5934
Västmanland County,6300
Västra Götaland County,42161
Örebro County,7144
Östergötland County,10411
