Page ID,Page name,Disclaimer,Amount spent (AOA),Number of ads in Library
102988331717955,Partido Humanista de Angola,Partido Humanista de Angola,1918,1
256341811443198,Iurisbook,José Paulo Maiandi,513,1
170360176854212,La JEUNE GARDE,These ads ran without a disclaimer,513,3
109144138435487,robson.brandaoo,These ads ran without a disclaimer,≤100,1
101335125357095,Czapp,These ads ran without a disclaimer,≤100,1
167810553565549,Conor O'Neill - The Everyday Athlete Program,These ads ran without a disclaimer,≤100,3
102723762108199,Tsikdem Communication,These ads ran without a disclaimer,≤100,1
113558234658324,Sabedoria dos Provérbios de Salomão,These ads ran without a disclaimer,≤100,1
1877361012493253,China Mosaic,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,1
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,1
347265340270,Architecture Competitions,These ads ran without a disclaimer,≤100,1
