Location name,Amount spent (EUR)
Alsace,939
Aquitaine,1680
Auvergne,529
Basse-Normandie,592
Bourgogne,707
Bretagne,1413
Centre,1133
Champagne-Ardenne,573
Corse,212
Franche-Comté,442
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,857
Languedoc-Roussillon,1638
Limousin,310
Lorraine,1054
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1442
New Caledonia,≤100
Nord-Pas-de-Calais,1673
Pays de la Loire,1581
Picardie,783
Poitou-Charentes,791
Provence-Alpes-Côte d'Azur,3271
Reunion Island,≤100
Rhône-Alpes,3224
Saint Pierre and Miquelon,≤100
Unknown,≤100
Île-de-France,6812
