Location name,Amount spent (CZK)
Central Bohemian Region,27672
Hradec Králové Region,10869
Karlovy Vary Region,5271
Liberec Region,8750
Moravian-Silesian Region,23017
Olomouc Region,12404
Pardubice Region,10044
Plzeň Region,11474
Prague,59052
South Bohemian Region,12543
South Moravian Region,30463
Unknown,≤100
Vysočina Region,10753
Zlín Region,11227
Ústí nad Labem Region,16263
