Location name,Amount spent (HUF)
Baranya County,118929
Borsod-Abaúj-Zemplén County,137275
Budapest,761473
Bács-Kiskun County,119543
Békés County,77049
Csongrád County,135850
Fejér County,112334
Győr-Moson-Sopron County,117798
Hajdú-Bihar County,133117
Heves County,76952
Jász-Nagykun-Szolnok County,82054
Komárom-Esztergom County,79720
Nógrád County,42585
Pest County,310880
Somogy County,66325
Szabolcs-Szatmár-Bereg County,104639
Tolna County,50480
Unknown,≤100
Vas County,70949
Veszprém County,103737
Zala County,65716
