Location name,Amount spent (PLN)
Greater Poland Voivodeship,4495
Kuyavian-Pomeranian Voivodeship,2062
Lesser Poland Voivodeship,3997
Lower Silesian Voivodeship,3338
Lublin Voivodeship,1920
Lubusz Voivodeship,1054
Masovian Voivodeship,8135
Opole Voivodeship,819
Podkarpackie Voivodeship,1768
Podlaskie Voivodeship,992
Pomeranian Voivodeship,2874
Silesian Voivodeship,4710
Unknown,≤100
Warmian-Masurian Voivodeship,1640
West Pomeranian Voivodeship,2086
Łódź Voivodeship,2753
Świętokrzyskie Voivodeship,931
