Location name,Amount spent (SEK)
Blekinge County,4574
Dalarna County,8573
Gotland County,3750
Gävleborg County,8971
Halland County,9260
Jämtland County,4317
Jönköping County,11190
Kalmar County,7125
Kronoberg County,6937
Norrbotten County,7730
Skåne County,41129
Stockholm County,72602
Södermanland County,9001
Unknown,≤100
Uppsala County,12442
Värmland County,7916
Västerbotten County,10684
Västernorrland County,6802
Västmanland County,7969
Västra Götaland County,54145
Örebro County,9743
Östergötland County,13804
