Location name,Amount spent (SEK)
Blekinge County,5074
Dalarna County,9558
Gotland County,2250
Gävleborg County,10695
Halland County,9216
Jämtland County,4808
Jönköping County,10935
Kalmar County,7372
Kronoberg County,5817
Norrbotten County,9515
Skåne County,43104
Stockholm County,75647
Södermanland County,9311
Unknown,≤100
Uppsala County,15714
Värmland County,8658
Västerbotten County,9405
Västernorrland County,8415
Västmanland County,8661
Västra Götaland County,54084
Örebro County,9539
Östergötland County,13822
