Location name,Amount spent (RON)
Alba County,672
Arad County,876
Argeș County,917
Bacău County,703
Bihor County,1092
Bistrița-Năsăud County,488
Botoșani County,397
Brașov County,873
Brăila County,436
Bucharest,3866
Buzău County,567
Caraș-Severin County,322
Cluj County,1421
Constanța County,1128
Covasna County,381
Călărași County,334
Dolj County,963
Dâmbovița County,710
Galați County,826
Giurgiu County,352
Gorj County,403
Harghita County,704
Hunedoara County,656
Ialomița County,365
Iași County,2073
Ilfov County,517
Maramureș County,630
Mehedinți County,265
Mureș County,945
Neamț County,542
Olt County,328
Prahova County,1177
Satu Mare County,430
Sibiu County,746
Suceava County,623
Sălaj County,229
Teleorman County,404
Timiș County,1219
Tulcea County,293
Unknown,≤100
Vaslui County,308
Vrancea County,443
Vâlcea County,347
