Location name,Amount spent (ARS)
Buenos Aires,1428221
Catamarca,75107
Chaco,103425
Chubut,73733
Ciudad Autónoma de Buenos Aires,271310
Corrientes,55898
Córdoba,1825257
Entre Rios,110628
Formosa,42160
Jujuy,548298
La Pampa,464283
La Rioja,354870
Mendoza,89485
Misiones,1056136
Neuquén,29139
Río Negro,26514
Salta,750161
San Juan,799947
San Luis,328728
Santa Cruz,22174
Santa Fe,397359
Santiago del Estero,30526
Tierra del Fuego,541505
Tucuman,456224
Unknown,≤100
