Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,208
Bangkok,12417
Bueng Kan,≤100
Buriram,217
Chachoengsao,335
Chai Nat,≤100
Chaiyaphum,129
Chanthaburi,469
Chiang Mai,579
Chiang Rai,200
Chon Buri,2722
Chumphon,358
Kalasin,128
Kamphaeng Phet,≤100
Kanchanaburi,172
Khon Kaen,246
Krabi,308
Lampang,161
Lamphun,≤100
Loei,≤100
Lop Buri,≤100
Mae Hong Son,231
Maha Sarakham,134
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,291
Nakhon Phanom,113
Nakhon Ratchasima,410
Nakhon Sawan,427
Nakhon Si Thammarat,1901
Nan,≤100
Narathiwat,151
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,447
Pathum Thani,398
Pattani,309
Phangnga,199
Phatthalung,398
Phayao,303
Phetchabun,126
Phetchaburi,447
Phichit,211
Phitsanulok,4044
Phrae,≤100
Phuket,2042
Prachin Buri,≤100
Prachuap Khiri Khan,316
Ranong,≤100
Ratchaburi,181
Rayong,193
Roi Et,189
Sa Kaeo,≤100
Sakon Nakhon,234
Samut Prakan,1304
Samut Sakhon,505
Samut Songkhram,146
Saraburi,134
Satun,205
Sing Buri,≤100
Sisaket,188
Songkhla,2190
Sukhothai,110
Suphan Buri,122
Surat Thani,5894
Surin,470
Tak,≤100
Trang,226
Trat,≤100
Ubon Ratchathani,326
Udon Thani,221
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,172
Yasothon,113
