Location name,Amount spent (HUF)
Baranya County,121557
Borsod-Abaúj-Zemplén County,192216
Budapest,868530
Bács-Kiskun County,168977
Békés County,113185
Csongrád County,172715
Fejér County,144479
Győr-Moson-Sopron County,150873
Hajdú-Bihar County,166903
Heves County,110504
Jász-Nagykun-Szolnok County,116185
Komárom-Esztergom County,109111
Nógrád County,58563
Pest County,344976
Somogy County,94494
Szabolcs-Szatmár-Bereg County,163658
Tolna County,77578
Unknown,128
Vas County,84535
Veszprém County,109017
Zala County,90761
