Location name,Amount spent (GTQ)
Alta Verapaz Department,257
Baja Verapaz Department,≤100
Chimaltenango Department,107
Chiquimula Department,≤100
El Progreso Department,≤100
Escuintla Department,220
Guatemala Department,2508
Huehuetenango Department,255
Izabal Department,108
Jalapa Department,≤100
Jutiapa Department,118
Petén Department,≤100
Quetzaltenango Department,338
Quiché Department,232
Retalhuleu Department,≤100
Sacatepéquez Department,140
San Marcos Department,567
Santa Rosa Department,≤100
Sololá Department,101
Suchitepéquez Department,243
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
