Location name,Amount spent (CAD)
Alberta,13131
British Columbia,18514
Manitoba,3650
New Brunswick,1316
Newfoundland and Labrador,757
Northwest Territories,188
Nova Scotia,1398
Nunavut,197
Ontario,25659
Prince Edward Island,487
Quebec,23046
Saskatchewan,2291
Unknown,≤100
Yukon,175
