Location name,Amount spent (EGP)
Al Sharqia Governorate,3813
Alexandria Governorate,925
Aswan Governorate,147
Asyut Governorate,383
Beheira Governorate,572
Beni Suef Governorate,229
Cairo Governorate,1786
Dakahlia Governorate,1125
Damietta Governorate,316
Faiyum Governorate,230
Gharbia Governorate,1163
Giza Governorate,7291
Ismailia Governorate,281
Kafr el-Sheikh Governorate,500
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,430
Monufia Governorate,601
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,171
Qalyubia Governorate,1562
Qena Governorate,300
Red Sea Governorate,119
Sohag Governorate,423
South Sinai Governorate,≤100
Suez Governorate,105
Unknown,≤100
