Location name,Amount spent (MXN)
Aguascalientes,5860
Baja California,22590
Baja California Sur,3091
Campeche,10856
Chiapas,15957
Chihuahua,29488
Coahuila de Zaragoza,52439
Colima,11909
Distrito Federal,152579
Durango,8018
Guanajuato,33219
Guerrero,11737
Hidalgo,10170
Jalisco,116874
Michoacán de Ocampo,25244
Morelos,8451
Nayarit,4044
Nuevo León,128622
Oaxaca,14679
Puebla,23543
Querétaro Arteaga,23169
Quintana Roo,11809
San Luis Potosi,14654
Sinaloa,11904
Sonora,17341
State of Mexico,105075
Tabasco,8264
Tamaulipas,48692
Tlaxcala,5049
Unknown,≤100
Veracruz,35681
Yucatán,17191
Zacatecas,4667
