Location name,Amount spent (EUR)
Alsace,827
Aquitaine,1531
Auvergne,436
Basse-Normandie,487
Bourgogne,530
Bretagne,1304
Centre,861
Champagne-Ardenne,470
Corse,165
Franche-Comté,353
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,700
Languedoc-Roussillon,1500
Limousin,257
Lorraine,868
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1189
New Caledonia,≤100
Nord-Pas-de-Calais,1413
Pays de la Loire,1175
Picardie,680
Poitou-Charentes,736
Provence-Alpes-Côte d'Azur,2719
Reunion Island,≤100
Rhône-Alpes,2427
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4643
