Location name,Amount spent (UYU)
Artigas Department,147
Canelones Department,658
Cerro Largo Department,209
Colonia Department,286
Durazno Department,113
Flores Department,≤100
Florida Department,131
Lavalleja Department,101
Maldonado Department,339
Montevideo Department,3441
Paysandú Department,526
Rivera Department,1295
Rocha Department,146
Río Negro Department,113
Salto Department,421
San José Department,116
Soriano Department,133
Tacuarembó Department,167
Treinta y Tres Department,145
Unknown,≤100
