Location name,Amount spent (PKR)
Azad Kashmir,449
Balochistan,1942
Federally Administered Tribal Areas,175
Gilgit-Baltistan,298
Islamabad Capital Territory,905
Khyber Pakhtunkhwa,4745
Punjab,17521
Sindh,8801
Unknown,≤100
