Location name,Amount spent (ARS)
Buenos Aires,960023
Catamarca,33180
Chaco,80088
Chubut,214722
Ciudad Autónoma de Buenos Aires,474932
Corrientes,24300
Córdoba,2295422
Entre Rios,68981
Formosa,17452
Jujuy,161028
La Pampa,82124
La Rioja,134710
Mendoza,186866
Misiones,480293
Neuquén,2324548
Río Negro,736924
Salta,311955
San Juan,216523
San Luis,89741
Santa Cruz,16084
Santa Fe,436869
Santiago del Estero,11322
Tierra del Fuego,252742
Tucuman,126753
Unknown,≤100
