Location name,Amount spent (ARS)
Buenos Aires,2155455
Catamarca,23029
Chaco,31660
Chubut,64827
Ciudad Autónoma de Buenos Aires,258946
Corrientes,28883
Córdoba,2137553
Entre Rios,122907
Formosa,11559
Jujuy,15699
La Pampa,185781
La Rioja,12582
Mendoza,60573
Misiones,18033
Neuquén,71465
Río Negro,21255
Salta,301110
San Juan,59536
San Luis,57780
Santa Cruz,4804
Santa Fe,409963
Santiago del Estero,11964
Tierra del Fuego,42274
Tucuman,33411
Unknown,119
