Location name,Amount spent (INR)
Andaman and Nicobar Islands,180
Andhra Pradesh,69056
Arunachal Pradesh,1144
Assam,16463
Bihar,32869
Chandigarh,2546
Chhattisgarh,83122
Dadra and Nagar Haveli,808
Delhi,41545
Goa,6815
Gujarat,47504
Haryana,36117
Himachal Pradesh,9843
Jammu and Kashmir,5534
Jharkhand,16189
Karnataka,43643
Kerala,13196
Lakshadweep,≤100
Madhya Pradesh,166486
Maharashtra,144367
Manipur,244
Meghalaya,871
Mizoram,2553
Nagaland,570
Odisha,11831
Puducherry,657
Punjab region,24753
Rajasthan,147350
Sikkim,872
Tamil Nadu,57413
Telangana,68385
Tripura,1836
Unknown,≤100
Uttar Pradesh,101728
Uttarakhand,17711
West Bengal,184599
