Location name,Amount spent (USD)
Azuay Province,522
Bolívar Province,121
Carchi Province,≤100
Cañar Province,151
Chimborazo Province,307
Cotopaxi Province,242
El Oro Province,685
Esmeraldas Province,307
Galápagos Province,≤100
Guayas Province,2646
Imbabura Province,312
Loja Province,343
Los Ríos Province,747
Manabí Province,1176
Morona-Santiago Province,138
Napo Province,≤100
Orellana Province,105
Pastaza Province,≤100
Pichincha Province,1609
Santa Elena Province,305
Santo Domingo de los Tsáchilas Province,752
Sucumbíos Province,157
Tungurahua Province,403
Unknown,≤100
Zamora-Chinchipe Province,173
