Location name,Amount spent (HUF)
Baranya County,232372
Borsod-Abaúj-Zemplén County,301169
Budapest,1327279
Bács-Kiskun County,278774
Békés County,176180
Csongrád County,240956
Fejér County,254625
Győr-Moson-Sopron County,264137
Hajdú-Bihar County,278836
Heves County,156138
Jász-Nagykun-Szolnok County,188683
Komárom-Esztergom County,197846
Nógrád County,86096
Pest County,659536
Somogy County,147656
Szabolcs-Szatmár-Bereg County,250327
Tolna County,111659
Unknown,250
Vas County,138369
Veszprém County,183517
Zala County,152963
