Location name,Amount spent (ZAR)
Eastern Cape,1287
Free State,585
Gauteng,4673
KwaZulu-Natal,1226
Limpopo,543
Mpumalanga,584
North West,478
Northern Cape,215
Unknown,≤100
Western Cape,4768
