Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,217
Apurímac Region,≤100
Arequipa Region,418
Ayacucho Region,139
Cajamarca Region,178
Callao,101
Cusco Region,335
Huancavelica Region,≤100
Huánuco Region,102
Ica Region,271
Junín Region,192
La Libertad Region,324
Lambayeque Region,216
Lima Region,3329
Loreto Region,≤100
Madre de Dios Region,143
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,269
Puno Region,344
San Martín Region,178
Tacna Region,133
Tumbes Region,≤100
Ucayali Region,102
Unknown,≤100
